GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECIS,SOURCE,NOTES,FATALITIES
500,729UGA,89932,20/01/2000,2000,2,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 24/1/00,Ugandan army overran several ADF rebel bases - the majority of the fighting took place between 19/01/00 and 21/01/00,1
500,730UGA,89933,20/01/2000,2000,2,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 24/1/00,Ugandan army overran several ADF rebel bases - the majority of the fighting took place between 19/01/00 and 21/01/00,1
500,731UGA,89934,20/01/2000,2000,2,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 24/1/00,Ugandan army overran several ADF rebel bases - the majority of the fighting took place between 19/01/00 and 21/01/00,1
500,732UGA,89935,21/01/2000,2000,2,Battle-Government regains territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,1,BBC Monitoring Africa - Political 24/1/00,Ugandan army overran several ADF rebel bases - the majority of the fighting took place between 19/01/00 and 21/01/00,1
500,733UGA,89936,21/01/2000,2000,2,Battle-Government regains territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 24/1/00,Ugandan army overran several ADF rebel bases - the majority of the fighting took place between 19/01/00 and 21/01/00,1
500,734UGA,89937,21/01/2000,2000,2,Battle-Government regains territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 24/1/00,Ugandan army overran several ADF rebel bases - the majority of the fighting took place between 19/01/00 and 21/01/00,1
500,739UGA,89942,24/01/2000,2000,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,"BBC Monitoring Newsfile 26/1/00, Reuters 26/1/00",Ugandan army attacked and destroyed an ADF rebel base - at least 16 rebels were reportedly killed,2
500,740UGA,89943,24/01/2000,2000,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Kasese,,Rwenzori Mountains,0.35518,29.87757,2,"BBC Monitoring Newsfile 26/1/00, Reuters 26/1/00",Ugandan army battled with ADF rebels ,0
500,741UGA,89944,24/01/2000,2000,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Semliki National Park,0.8167,30.0667,2,"BBC Monitoring Newsfile 26/1/00, Reuters 26/1/00",Ugandan army battled with ADF rebels ,0
500,736UGA,89939,24/01/2000,2000,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Acholi,Amuru,,Pabbo,3,32.15,1,BBC Monitoring Africa - Political 26/1/00,4 civilians were reportedly killed in an attack by LRA rebels,4
500,735UGA,89938,24/01/2000,2000,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Amuru,,Pabbo,3,32.15,2,BBC Monitoring Africa - Political 26/1/00,LRA rebel attack was repulsed by Ugandan army,0
500,738UGA,89941,24/01/2000,2000,1,Violence against civilians,Pian Ethnic Militia (Uganda),Matheniko Ethnic Militia (Uganda),4,Civilians (Uganda),Pokot Ethnic Group (Uganda),7,47,Uganda,Karamoja,Moroto,,Moroto,2.4958,34.6694,2,"BBC Monitoring Newsfile 26/1/00, Associated Press Newswires 27/1/00",Pian and Matheniko warriors attacked Karamojong Pokot people in a cattle raid in which a large number of livestock were stolen ,0
500,737UGA,89940,24/01/2000,2000,1,Battle-No change of territory,Pian Ethnic Militia (Uganda),Matheniko Ethnic Militia (Uganda),4,Pokot Ethnic Militia (Uganda),,4,44,Uganda,Karamoja,Moroto,,Moroto,2.4958,34.6694,2,"BBC Monitoring Newsfile 26/1/00, Associated Press Newswires 27/1/00","Pian and Matheniko warriors attacked Karamojong Pokot people leading to a battle in which 15 people were killed, many others were seriously injured, a large number of livestock were stolen during the raid",15
500,743UGA,89946,25/01/2000,2000,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,"BBC Monitoring Newsfile 26/1/00, Reuters 26/1/00",Ugandan army battled with ADF rebels ,0
500,745UGA,89948,25/01/2000,2000,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Kasese,,Rwenzori Mountains,0.35518,29.87757,2,"BBC Monitoring Newsfile 26/1/00, Reuters 26/1/00",Ugandan army battled with ADF rebels ,0
500,746UGA,89949,25/01/2000,2000,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Semliki National Park,0.8167,30.0667,2,"BBC Monitoring Newsfile 26/1/00, Reuters 26/1/00",Ugandan army battled with ADF rebels ,0
500,742UGA,89945,25/01/2000,2000,1,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Kenya),,7,47,Uganda,Karamoja,Moroto,,Moroto,2.49583,34.66944,2,BBC Monitoring,Ugandan Karamojong attack Pokot herdsmen grazing their cattle in Ugandan territory,14
500,744UGA,89947,25/01/2000,2000,1,Non-violent activity by a conflict actor,RCD-K: Rally for Congolese Democracy (Kisangani),,2,,,0,20,Uganda,Western,Kasese,,Rwenzori,0.224,29.924,1,Dow Jones International,Rebels in east DRC and Uganda have allied to help fight Ugandan Allied Democratic Front--rebels who attack Uganda from DRC.,0
500,747UGA,89950,28/01/2000,2000,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 1/2/00,"ADF rebels abducted 9 civilians from the parishes of Musoror and Nobiri, animals and property were also looted",0
500,748UGA,89951,28/01/2000,2000,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 1/2/00,"ADF rebels abducted 9 civilians from the parishes of Musoror and Nobiri, animals and property were also looted",0
500,749UGA,89952,28/01/2000,2000,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Ntoroko,,Muzizi,1.05,30.55,1,BBC Monitoring Africa - Political 1/2/00,ADF rebels attacked a village - 2 people were abducted,0
500,751UGA,89954,29/01/2000,2000,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 31/1/00,Fighting broke out between ADF rebels and the Ugandan army as the rebels were fleeing from the army offensive in the Ruwenzori mountains,0
500,752UGA,89955,29/01/2000,2000,2,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 31/1/00,The Ugandan army has in the last couple of days inflicted heavy losses to the ADF rebels' ,0
500,750UGA,89953,29/01/2000,2000,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Acholi,Gulu,,Gulu,2.76667,32.30556,3,BBC Monitoring Africa - Political 31/1/00,29 civilians were captured by LRA rebels including 20 children,0
500,755UGA,89958,30/01/2000,2000,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 1/2/00,"ADF rebels attack a fishing village - 1 civilian was abducted, 3 wounded",0
500,754UGA,89957,30/01/2000,2000,2,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 31/1/00,The Ugandan army has in the last couple of days inflicted heavy losses to the ADF rebels' ,0
500,753UGA,89956,30/01/2000,2000,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Acholi,Gulu,,Gulu,2.76667,32.30556,3,BBC Monitoring Africa - Political 31/1/00,29 civilians were captured by LRA rebels including 20 children,0
500,762UGA,89965,31/01/2000,2000,2,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 31/1/00,The Ugandan army has in the last couple of days inflicted heavy losses to the ADF rebels' ,0
500,756UGA,89959,31/01/2000,2000,1,Violence against civilians,Turkana Ethnic Militia (Kenya),Toposa Ethnic Militia (Sudan),4,Civilians (Sudan),Karamajong Ethnic Group (Uganda),7,47,Uganda,Karamoja,Kaabong,,Dodoth,3.58333,34,2,Agence France-Presse 7/2/00,Turkana (Kenya) and Toposa (Sudan) armed ethnic group attacked Karamajong people in Uganda in a series of cattle raids which were said to be a retaliation for a Karamajong cattle raid last November on the Turkana people - 43 Karamajong were killed,43
500,758UGA,89961,31/01/2000,2000,1,Violence against civilians,Turkana Ethnic Militia (Kenya),Tepeth Ethnic Militia (Sudan); Toposa Ethnic Militia (Sudan),4,Civilians (Uganda),Karamajong Ethnic Group (Uganda),7,47,Uganda,Karamoja,Kaabong,,Mt Morungole,3.8167,34.0333,2,"Agence France-Presse 7/2/00, BBC Monitoring Africa - Political 9/2/00","Cattle raid. Turkana (Kenya) group allied with Toposa (Sudan) group against Karamojong people - 57 Karamojong are said to have been killed, mainly civilians over three days of violence (recorded on last day of violence)- many animals were stolen",9
500,759UGA,89962,31/01/2000,2000,1,Violence against civilians,Turkana Ethnic Militia (Kenya),Tepeth Ethnic Militia (Sudan); Toposa Ethnic Militia (Sudan),4,Civilians (Uganda),Karamajong Ethnic Group (Uganda),7,47,Uganda,Karamoja,Kaabong,,Mt Morungole,3.8167,34.0333,2,"Agence France-Presse 7/2/00, BBC Monitoring Africa - Political 9/2/00","Cattle raid. Turkana (Kenya) group allied with Toposa (Sudan) group against Karamojong people - 57 Karamojong are said to have been killed, mainly civilians over three days of violence (recorded on last day of violence)- many animals were stolen",9
500,760UGA,89963,31/01/2000,2000,1,Violence against civilians,Turkana Ethnic Militia (Kenya),Tepeth Ethnic Militia (Sudan); Toposa Ethnic Militia (Sudan),4,Civilians (Uganda),Karamajong Ethnic Group (Uganda),7,47,Uganda,Karamoja,Kaabong,,Mt Morungole,3.8167,34.0333,2,"Agence France-Presse 7/2/00, BBC Monitoring Africa - Political 9/2/00","Cattle raid. Turkana (Kenya) group allied with Toposa (Sudan) group against Karamojong people - 57 Karamojong are said to have been killed, mainly civilians over three days of violence (recorded on last day of violence)- many animals were stolen",10
500,761UGA,89964,31/01/2000,2000,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),Toposa Ethnic Militia (Sudan),4,Dodoth Ethnic Militia (Uganda),,4,44,Uganda,Karamoja,Kaabong,,Uganda-Kenya border,3.61,33.75,2,BBC Monitoring,"Toposa and Turkana raid Ugandan Dodoth, three days of clashes",14
500,757UGA,89960,31/01/2000,2000,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),Tepeth Ethnic Militia (Sudan); Toposa Ethnic Militia (Sudan),4,Karamajong Ethnic Militia (Uganda),,4,44,Uganda,Karamoja,Kaabong,,Mt Morungole,3.8167,34.0333,2,"Agence France-Presse 7/2/00, BBC Monitoring Africa - Political 9/2/00",Cattle raid. Turkana (Kenya) group allied with Toposa (Sudan) group against Karamojong people leading to 3 days of fighting between the groups - many animals were stolen,9
500,763UGA,89966,1/2/2000,2000,1,Violence against civilians,Turkana Ethnic Militia (Kenya),Toposa Ethnic Militia (Sudan),4,Civilians (Sudan),Karamajong Ethnic Group (Uganda),7,47,Uganda,Karamoja,Kaabong,,Dodoth,3.58333,34,2,Agence France-Presse 7/2/00,Turkana (Kenya) and Toposa (Sudan) armed ethnic group attacked Karamajong people in Uganda in a series of cattle raids which were said to be a retaliation for a Karamajong cattle raid last November on the Turkana people - 43 Karamajong were killed,0
500,765UGA,89968,1/2/2000,2000,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),Toposa Ethnic Militia (Sudan),4,Dodoth Ethnic Militia (Uganda),,4,44,Uganda,Karamoja,Kaabong,,Uganda-Kenya border,3.61,33.75,2,BBC Monitoring,"Toposa and Turkana raid Ugandan Dodoth, three days of clashes",14
500,764UGA,89967,1/2/2000,2000,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),Tepeth Ethnic Militia (Sudan); Toposa Ethnic Militia (Sudan),4,Karamajong Ethnic Militia (Uganda),,4,44,Uganda,Karamoja,Kaabong,,Mt Morungole,3.8167,34.0333,2,"Agence France-Presse 7/2/00, BBC Monitoring Africa - Political 9/2/00",Cattle raid. Turkana (Kenya) group allied with Toposa (Sudan) group against Karamojong people leading to 3 days of fighting between the groups - many animals were stolen,10
500,766UGA,89969,2/2/2000,2000,1,Violence against civilians,Turkana Ethnic Militia (Kenya),Toposa Ethnic Militia (Sudan),4,Civilians (Sudan),Karamajong Ethnic Group (Uganda),7,47,Uganda,Karamoja,Kaabong,,Dodoth,3.58333,34,2,Agence France-Presse 7/2/00,Turkana (Kenya) and Toposa (Sudan) armed ethnic group attacked Karamajong people in Uganda in a series of cattle raids which were said to be a retaliation for a Karamajong cattle raid last November on the Turkana people - 43 Karamajong were killed ,0
500,768UGA,89971,2/2/2000,2000,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),Toposa Ethnic Militia (Sudan),4,Dodoth Ethnic Militia (Uganda),,4,44,Uganda,Karamoja,Kaabong,,Uganda-Kenya border,3.61,33.75,2,BBC Monitoring,"Toposa and Turkana raid Ugandan Dodoth, three days of clashes",14
500,767UGA,89970,2/2/2000,2000,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),Tepeth Ethnic Militia (Sudan); Toposa Ethnic Militia (Sudan),4,Karamajong Ethnic Militia (Uganda),,4,44,Uganda,Karamoja,Kaabong,,Mt Morungole,3.8167,34.0333,2,"Agence France-Presse 7/2/00, BBC Monitoring Africa - Political 9/2/00",Cattle raid. Turkana (Kenya) group allied with Toposa (Sudan) group against Karamojong people leading to 3 days of fighting between the groups - many animals were stolen,10
500,769UGA,89972,3/2/2000,2000,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Semliki National Park,0.8167,30.0667,2,Reuters 4/2/00,ADF rebels ambushed an army vehicle - 2 army officers and their driver were killed,3
500,770UGA,89973,9/2/2000,2000,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Bundibugyo,,Bundibugyo,0.7414,30.0417,3,BBC Monitoring Africa - Political 11/2/00,"ADF rebel ambush - 2 civilians killed, 3 others seriously injured",2
500,771UGA,89974,9/2/2000,2000,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Kabarole,,Habusisi,0.8167,30.4167,1,"Reuters 10/2/00, BBC Monitoring Africa - Political 11/2/00",ADF rebels killed 5 civilians and abducted 20 during an attack,5
500,773UGA,89976,14/02/2000,2000,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Acholi,Amuru,,Pabbo,3,32.15,1,BBC Monitoring Africa - Political 17/2/00,"LRA rebels attacked a camp - 5 civilians were killed, many were abducted, 35 huts were burned",5
500,772UGA,89975,14/02/2000,2000,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Amuru,,Pabbo,3,32.15,1,BBC Monitoring Africa - Political 17/2/00,"LRA rebels attacked a camp, burning 35 huts - The Ugandan army repulsed the attack - 1 soldier was killed",1
500,774UGA,89977,15/02/2000,2000,1,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Uganda),,7,47,Uganda,Elgon,Sironko,,Buyobo,1.1667,34.3833,2,BBC Monitoring Africa - Political 19/2/00,Ca. 20 armed Karamojong attacked a home looting property (this was followed by a cattle raid the following day),0
500,776UGA,89979,15/02/2000,2000,1,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Uganda),,7,47,Uganda,Elgon,Manafwa,,Damasco Wanyama,0.9063,34.3619,1,BBC Monitoring Africa - Political 19/2/00,Ca. 20 armed Karamojong raided cattle from a village ,0
500,775UGA,89978,15/02/2000,2000,1,Battle-No change of territory,Karamajong Ethnic Militia (Uganda),,4,Military Forces of Uganda (1986-),,1,14,Uganda,Elgon,Manafwa,,Damasco Wanyama,0.9063,34.3619,1,BBC Monitoring Africa - Political 19/2/00,Ca. 20 armed Karamojong raided cattle from a village - 2 Ugandan soldiers are reported to have been killed suggesting a battle took place,2
500,777UGA,89980,17/02/2000,2000,1,Non-violent activity by a conflict actor,LRA: Lord's Resistance Army,,2,,,0,20,Uganda,West Nile,Adjumani,,Zoka Forest,3.0833,31.6833,2,BBC Monitoring Africa - Political 24/2/00,LRA rebels are suspected to have moved from Gulu District towards Zoka Forest - the Ugandan army responded to the information by deploying troops to the area,0
500,778UGA,89981,22/02/2000,2000,3,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,BBC Monitoring Africa - Political 22/2/00,Ugandan army attacked and destroyed several LRA hideouts and captured about 50 rebels - details of the dates or duration of conflict not available,0
500,779UGA,89982,4/3/2000,2000,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Acholi,Gulu,,Opit,2.62,32.5,1,Agence France-Presse 4/3/00,Ca. 40 LRA rebels attacked a trading centre and mission - 2 Italian missionaries were abducted - the attack was said to be a protest against the governments proposed Amnesty Bill,0
500,781UGA,89984,6/3/2000,2000,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Acholi,Agago,,Pader,3.05,33.2167,1,Agence France-Presse 7/3/00,"LRA rebels attacked a camp for displaced people - 10 civilians were killed, 36 were wounded",10
500,780UGA,89983,6/3/2000,2000,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Agago,,Pader,3.05,33.2167,1,Agence France-Presse 7/3/00,LRA rebels attacked a camp for displaced people - 2 Ugandan soldiers were killed ,2
500,782UGA,89985,13/03/2000,2000,1,Remote violence,Military Forces of Uganda (1986-),,1,Karamajong Ethnic Militia (Uganda),,4,14,Uganda,Karamoja,Moroto,,Moroto,2.4958,34.6694,3,BBC Monitoring Africa - Political 20/3/00,Ugandan army launched an air strike against the Karamojong warriors who were allegedly moving to attack a military base - the attack did not kill any warriors but killed about 85 heads of cattle and damaged property,0
500,783UGA,89986,15/03/2000,2000,3,Non-violent activity by a conflict actor,UNRF II: Uganda National Rescue Front II,,2,,,0,20,Uganda,West Nile,Yumbe,,Drajini,3.4464,31.2703,2,"UN IRIN, 6/12/2001",UNRF II rebels recruiting child soldiers,0
500,784UGA,89987,15/03/2000,2000,3,Non-violent activity by a conflict actor,UNRF II: Uganda National Rescue Front II,,2,,,0,20,Uganda,West Nile,Arua,,Kitini,3.01917,30.93083,2,"UN IRIN, 6/12/2001",UNRF II rebels recruiting child soldiers,0
500,785UGA,89988,17/03/2000,2000,1,Violence against civilians,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),,7,37,Uganda,South Western,Kanungu,,Kanungu,-0.9575,29.7897,1,"Dow Jones International 18/3/00, Associated Press Newswires 31/3/00",Ca. 530 people were burned to death at Restoration of the Ten Commandments of God church in a religious sect massacre on its own members (later reported as 'collective suicide'),530
500,786UGA,89989,19/03/2000,2000,1,Battle-No change of territory,Jie Ethnic Militia (Uganda),,4,Dodoth Ethnic Militia (Uganda),,4,44,Uganda,Karamoja,Moroto,,Moroto,2.4958,34.6694,3,BBC Monitoring Africa - Political 25//00,Battle between Jie warriors and Dodoth tribe - 35 Jie and 4 Dodoth were killed ,39
500,787UGA,89990,20/03/2000,2000,2,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Uganda),,7,47,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,BBC Monitoring Africa - Political 20/3/00,Over 12 civilians are reported to have been killed by Karamojong warriors - details not specified,12
500,788UGA,89991,21/03/2000,2000,1,Violence against civilians,Jie Ethnic Militia (Uganda),,4,Civilians (Uganda),Dodoth Ethnic Group (Uganda),7,47,Uganda,Karamoja,Moroto,,Moroto,2.4958,34.6694,3,BBC Monitoring Africa - Political 25//00,1 Dodoth boy killed by Jie warriors,1
500,789UGA,89992,23/03/2000,2000,1,Battle-No change of territory,Unidentified Armed Group (Uganda),,3,Military Forces of Uganda (1986-),,1,13,Uganda,Acholi,Gulu,,Gulu,2.76667,32.30556,3,BBC Monitoring Africa - Political 27/3/00,Ugandan army killed 9 rebels including a commander identified as 'Ola' during a battle,9
500,790UGA,89993,27/03/2000,2000,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Associated Press Newswires 27/3/00,LRA rebels ambushed an aid care - the driver was injured,0
500,793UGA,89996,1/4/2000,2000,3,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Kasese,,Kabukwire,0.3,30.1,2,All Africa 18/4/00,ADF rebels attacked a village - 2 civilians were killed,2
500,792UGA,89995,1/4/2000,2000,3,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Kasese,,Kabukwire,0.3,30.1,2,All Africa 18/4/00,ADF rebels attacked a village - 1 Ugandan army officer was injured in the altercation,0
500,791UGA,89994,1/4/2000,2000,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Pader,,Atanga,3.0111,32.7739,2,BBC Monitoring Africa - Political 3/4/00,Ugandan army killed 13 LRA rebels,13
500,794UGA,89997,2/4/2000,2000,1,Battle-No change of territory,Karamajong Ethnic Militia (Uganda),,4,Military Forces of Uganda (1986-),,1,14,Uganda,Teso,Katakwi,,Katakwi,1.89111,33.96611,3,BBC Monitoring Africa - Political 5/4/00,Battle between Ugandan army and Karamojong warriors who had been raiding roofing materials from a school building - up to 19 warriors and 11 soldiers were killed,30
500,795UGA,89998,3/4/2000,2000,1,Battle-No change of territory,Karamajong Ethnic Militia (Uganda),,4,Military Forces of Uganda (1986-),,1,14,Uganda,Teso,Katakwi,,Katakwi,1.89111,33.96611,3,BBC Monitoring Africa - Political 5/4/00,"Second battle in two days between Ugandan army and Karamojong warriors - 9 warriors killed, they were objecting the government's move to arm Local Defence Unit (Uganda)s in the area",9
500,797UGA,90000,4/4/2000,2000,1,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Uganda),,7,47,Uganda,Acholi,Agago,,Agago County,2.8333,33.3333,2,BBC Monitoring Africa - Political 8/4/00,Series of severe attacks by Karamojong warriors - the Ugandan army intervened leading to battles,0
500,799UGA,90002,4/4/2000,2000,1,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Uganda),,7,47,Uganda,Lango,Otuke,,Otuke,2.5,33.5833,2,BBC Monitoring Africa - Political 8/4/00,Series of severe attacks by Karamojong warriors - the Ugandan army intervened leading to battles,0
500,796UGA,89999,4/4/2000,2000,1,Battle-No change of territory,Karamajong Ethnic Militia (Uganda),,4,Military Forces of Uganda (1986-),,1,14,Uganda,Acholi,Agago,,Agago County,2.8333,33.3333,2,BBC Monitoring Africa - Political 8/4/00,"Series of attacks on civilians by Karamojong warriors - 71 killed by 7/4/00 (coded on that date), 70,000 people displaced, severe looting, the situation led to fears of famine",14
500,798UGA,90001,4/4/2000,2000,1,Battle-No change of territory,Karamajong Ethnic Militia (Uganda),,4,Military Forces of Uganda (1986-),,1,14,Uganda,Lango,Otuke,,Otuke,2.5,33.5833,2,BBC Monitoring Africa - Political 8/4/00,"Series of attacks on civilians by Karamojong warriors - 60,000 people displaced, severe looting, the situation led to fears of famine",0
500,801UGA,90004,5/4/2000,2000,1,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Uganda),,7,47,Uganda,Acholi,Agago,,Agago County,2.8333,33.3333,2,BBC Monitoring Africa - Political 8/4/00,Series of severe attacks by Karamojong warriors - the Ugandan army intervened leading to battles,0
500,803UGA,90006,5/4/2000,2000,1,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Uganda),,7,47,Uganda,Lango,Otuke,,Otuke,2.5,33.5833,2,BBC Monitoring Africa - Political 8/4/00,Series of severe attacks by Karamojong warriors - the Ugandan army intervened leading to battles,0
500,800UGA,90003,5/4/2000,2000,1,Battle-No change of territory,Karamajong Ethnic Militia (Uganda),,4,Military Forces of Uganda (1986-),,1,14,Uganda,Acholi,Agago,,Agago County,2.8333,33.3333,2,BBC Monitoring Africa - Political 8/4/00,"Series of attacks on civilians by Karamojong warriors - 71 killed by 7/4/00 (coded on that date), 70,000 people displaced, severe looting, the situation led to fears of famine",14
500,802UGA,90005,5/4/2000,2000,1,Battle-No change of territory,Karamajong Ethnic Militia (Uganda),,4,Military Forces of Uganda (1986-),,1,14,Uganda,Lango,Otuke,,Otuke,2.5,33.5833,2,BBC Monitoring Africa - Political 8/4/00,"Series of attacks on civilians by Karamojong warriors - 60,000 people displaced, severe looting, the situation led to fears of famine",0
